,name,position,squad,age,club,birth_year,matches_played,starts,minutes_played,min_played_per_90,goals,assists,non_penalty_goals,pk_goals,pk_attemps,yellow_cards,red_cards
218,Maxi Gómez,FW,uy Uruguay,26-124,1.tr Trabzonspor,1996,2,0,30,0.3,0,0,0,0,0,0,0
219,Papu Gómez,"MF,FW",ar Argentina,34-304,1.es Sevilla,1988,2,2,107,1.2,0,0,0,0,0,0,0
220,Shūichi Gonda,GK,jp Japan,33-288,1.jp S-Pulse,1989,4,4,390,4.3,0,0,0,0,0,0,0
221,Craig Goodwin,MF,au Australia,31-000,1.au Adelaide,1991,4,3,234,2.6,1,1,1,0,0,0,0
222,Leon Goretzka,MF,de Germany,27-313,1.de Bayern Munich,1995,3,2,159,1.8,0,0,0,0,0,1,0
223,Mario Götze,MF,de Germany,30-196,1.de Eint Frankfurt,1992,2,0,36,0.4,0,0,0,0,0,0,0
224,Jack Grealish,FW,eng England,27-097,1.eng Manchester City,1995,5,0,86,1.0,1,0,1,0,0,0,0
225,Antoine Griezmann,MF,fr France,31-270,1.es Atlético Madrid,1991,6,5,467,5.2,0,3,0,0,0,1,0
226,Kamil Grosicki,MF,pl Poland,34-191,1.pl Pogoń Szczecin,1988,1,0,4,0.0,0,0,0,0,0,0,0
227,Carlos Gruezo,MF,ec Ecuador,27-241,1.de Augsburg,1995,1,1,45,0.5,0,0,0,0,0,0,0
228,Marko Grujić,MF,rs Serbia,26-247,1.pt Porto,1996,1,0,13,0.1,0,0,0,0,0,0,0
229,Andrés Guardado,MF,mx Mexico,36-079,1.es Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0
230,Nemanja Gudelj,"MF,DF",rs Serbia,31-030,1.es Sevilla,1991,2,1,92,1.0,0,0,0,0,0,2,0
231,Mattéo Guendouzi,"FW,MF",fr France,23-246,1.fr Marseille,1999,1,1,78,0.9,0,0,0,0,0,0,0
232,Raphaël Guerreiro,DF,pt Portugal,28-359,1.de Dortmund,1993,4,3,279,3.1,1,2,1,0,0,0,0
233,Cho Guesung,FW,kr Korea Republic,24-325,1.kr Jeonbuk,1998,4,3,275,3.1,2,0,2,0,0,1,0
234,Pape Gueye,MF,sn Senegal,23-326,1.fr Marseille,1999,3,1,153,1.7,0,0,0,0,0,0,0
235,Bruno Guimarães,MF,br Brazil,25-030,1.eng Newcastle Utd,1997,2,0,69,0.8,0,0,0,0,0,1,0
236,İlkay Gündoğan,MF,de Germany,32-053,1.eng Manchester City,1990,3,3,189,2.1,1,0,0,1,1,0,0
237,Erick Gutiérrez,MF,mx Mexico,27-184,1.nl PSV Eindhoven,1995,1,0,49,0.5,0,0,0,0,0,1,0
238,Joško Gvardiol,DF,hr Croatia,20-327,1.de RB Leipzig,2002,6,6,600,6.7,0,0,0,0,0,0,0
239,Asiri Haitham,FW,sa Saudi Arabia,21-266,2.sa Al-Ahli,2001,1,0,2,0.0,0,0,0,0,0,0,0
240,Ehsan Hajsafi,"MF,DF",ir IR Iran,32-294,1.gr AEK Athens,1990,3,3,237,2.6,0,0,0,0,0,0,0
241,Achraf Hakimi,DF,ma Morocco,24-042,1.fr Paris S-G,1998,6,6,541,6.0,0,1,0,0,0,0,0
242,Abderrazak Hamdallah,FW,ma Morocco,31-364,1.sa Al-Ittihad,1990,4,0,68,0.8,0,0,0,0,0,0,0
243,Abdelkarim Hassan,DF,qa Qatar,29-110,1.qa Al Sadd SC,1993,3,3,270,3.0,0,0,0,0,0,0,0
244,Ali Al Hassan,MF,sa Saudi Arabia,25-287,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,1,0
245,Abdulaziz Hatem,MF,qa Qatar,32-049,1.qa Al Rayyan SC,1990,3,2,196,2.2,0,0,0,0,0,0,0
246,Kai Havertz,FW,de Germany,23-188,1.eng Chelsea,1999,2,1,102,1.1,2,0,2,0,0,0,0
247,Hassan Al-Haydos,MF,qa Qatar,32-005,1.qa Al Sadd SC,1990,3,3,206,2.3,0,0,0,0,0,0,0
248,Eden Hazard,MF,be Belgium,31-343,1.es Real Madrid,1991,3,2,124,1.4,0,0,0,0,0,0,0
249,Thorgan Hazard,FW,be Belgium,29-262,1.de Dortmund,1993,2,1,106,1.2,0,0,0,0,0,0,0
250,Hwang Hee-chan,"MF,FW",kr Korea Republic,26-324,1.eng Wolves,1996,2,1,115,1.3,1,0,1,0,0,1,0
251,Jordan Henderson,MF,eng England,32-182,1.eng Liverpool,1990,4,3,271,3.0,1,0,1,0,0,0,0
252,Wayne Hennessey,GK,wls Wales,35-326,1.eng Nott'ham Forest,1987,2,2,175,1.9,0,0,0,0,0,0,1
253,Lucas Hernández,DF,fr France,26-305,1.de Bayern Munich,1996,1,1,12,0.1,0,0,0,0,0,0,0
254,Theo Hernández,DF,fr France,25-071,1.it Milan,1997,5,4,438,4.9,1,2,1,0,0,1,0
255,Héctor Herrera,MF,mx Mexico,32-241,1.us Houston Dynamo,1990,2,2,160,1.8,0,0,0,0,0,1,0
256,Son Heung-min,"FW,MF",kr Korea Republic,30-161,1.eng Tottenham,1992,4,4,360,4.0,0,1,0,0,0,0,0
257,Piero Hincapié,DF,ec Ecuador,20-341,1.de Leverkusen,2002,3,3,270,3.0,0,0,0,0,0,0,0
258,Jonas Hofmann,FW,de Germany,30-155,1.de M'Gladbach,1992,2,0,30,0.3,0,0,0,0,0,0,0
259,Junior Hoilett,"FW,MF",ca Canada,32-194,2.eng Reading,1990,3,2,161,1.8,0,0,0,0,0,1,0
260,Martin Hongla,MF,cm Cameroon,24-275,1.it Hellas Verona,1998,2,2,121,1.3,0,0,0,0,0,0,0
261,Ricardo Horta,FW,pt Portugal,28-092,1.pt Braga,1994,3,1,119,1.3,1,0,1,0,0,0,0
262,Hossein Hosseini,GK,ir IR Iran,30-169,1.ir Esteghlal,1992,2,1,161,1.8,0,0,0,0,0,0,0
263,Majid Hosseini,DF,ir IR Iran,26-179,1.tr Kayserispor,1996,3,3,270,3.0,0,0,0,0,0,1,0
264,Ajdin Hrustic,"MF,FW",au Australia,26-164,1.it Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0
265,Atiba Hutchinson,MF,ca Canada,39-311,1.tr Beşiktaş,1983,3,2,159,1.8,0,0,0,0,0,0,0
266,Pierre Højbjerg,MF,dk Denmark,27-133,1.eng Tottenham,1995,3,3,270,3.0,0,0,0,0,0,0,0
267,Romario Ibarra,MF,ec Ecuador,28-083,1.mx Pachuca,1994,2,1,68,0.8,0,0,0,0,0,0,0
268,Ivan Ilić,MF,rs Serbia,21-274,1.it Hellas Verona,2001,1,0,34,0.4,0,0,0,0,0,0,0
269,Hwang In-beom,MF,kr Korea Republic,26-087,1.gr Olympiacos,1996,4,4,334,3.7,0,0,0,0,0,0,0
270,Jackson Irvine,"MF,FW",au Australia,29-284,2.de St. Pauli,1993,4,4,354,3.9,0,0,0,0,0,2,0
271,Ko Itakura,DF,jp Japan,25-323,1.de M'Gladbach,1997,3,3,270,3.0,0,1,0,0,0,2,0
272,Hiroki Ito,DF,jp Japan,23-218,1.de Stuttgart,1999,1,0,45,0.5,0,0,0,0,0,0,0
273,Junya Ito,"MF,FW",jp Japan,29-282,1.fr Reims,1993,4,3,324,3.6,0,1,0,0,0,0,0
274,Yahya Jabrane,MF,ma Morocco,31-181,1.ma Wydad Casablanca,1991,2,0,15,0.2,0,0,0,0,0,0,0
275,Nicolas Jackson,FW,sn Senegal,21-179,1.es Villarreal,2001,1,0,17,0.2,0,0,0,0,0,0,0
276,Lee Jae-sung,"MF,FW",kr Korea Republic,30-128,1.de Mainz 05,1992,3,3,211,2.3,0,0,0,0,0,0,0
277,Alireza Jahanbakhsh,MF,ir IR Iran,29-127,1.nl Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,2,0
278,Ismail Jakobs,DF,sn Senegal,23-121,1.fr Monaco,1999,4,3,278,3.1,0,1,0,0,0,1,0
279,Abolfazl Jalali,DF,ir IR Iran,24-173,1.ir Esteghlal,1998,1,0,19,0.2,0,0,0,0,0,1,0
280,Daniel James,"FW,MF",wls Wales,25-036,1.eng Fulham,1997,3,2,154,1.7,0,0,0,0,0,1,0
281,Vincent Janssen,FW,nl Netherlands,28-184,1.be Antwerp,1994,2,1,86,1.0,0,0,0,0,0,0,0
282,Ardon Jasari,FW,ch Switzerland,20-139,1.ch Luzern,2002,1,0,2,0.0,0,0,0,0,0,0,0
283,Issam Jebali,FW,tn Tunisia,30-356,1.dk Odense,1991,3,2,182,2.0,0,0,0,0,0,0,0
284,Artur Jędrzejczyk,DF,pl Poland,35-042,1.pl Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0,0,0
285,Mathias Jensen,MF,dk Denmark,26-349,1.eng Brentford,1996,2,1,84,0.9,0,0,0,0,0,1,0
286,Gabriel Jesus,FW,br Brazil,25-257,1.eng Arsenal,1997,3,1,93,1.0,0,0,0,0,0,0,0
287,Raúl Jiménez,FW,mx Mexico,31-225,1.eng Wolves,1991,3,0,59,0.7,0,0,0,0,0,0,0
288,Kim Jin-su,DF,kr Korea Republic,30-186,1.kr Jeonbuk,1992,4,4,315,3.5,0,1,0,0,0,0,0
289,Brennan Johnson,"FW,MF",wls Wales,21-207,1.eng Nott'ham Forest,2001,3,0,91,1.0,0,0,0,0,0,0,0
290,Alistair Johnston,DF,ca Canada,24-069,1.us CF Montréal,1998,3,3,270,3.0,0,0,0,0,0,1,0
291,Frenkie de Jong,MF,nl Netherlands,25-218,1.es Barcelona,1997,5,5,475,5.3,1,1,1,0,0,1,0
292,Luuk de Jong,FW,nl Netherlands,32-111,1.nl PSV Eindhoven,1990,1,0,57,0.6,0,0,0,0,0,0,0
293,Luka Jović,FW,rs Serbia,24-358,1.it Fiorentina,1997,1,0,36,0.4,0,0,0,0,0,1,0
294,Son Jun-ho,"MF,DF",kr Korea Republic,30-218,1.cn Shandong Lunen,1992,3,0,72,0.8,0,0,0,0,0,0,0
295,Vinicius Júnior,FW,br Brazil,22-157,1.es Real Madrid,2000,4,4,299,3.3,1,2,1,0,0,0,0
296,Josip Juranović,DF,hr Croatia,27-122,1.sct Celtic,1995,6,6,600,6.7,0,1,0,0,0,0,0
297,Daichi Kamada,"FW,MF",jp Japan,26-133,1.de Eint Frankfurt,1996,4,4,322,3.6,0,0,0,0,0,0,0
298,Jakub Kamiński,MF,pl Poland,20-194,1.de Wolfsburg,2002,4,2,233,2.6,0,0,0,0,0,0,0
299,Hossein Kanaanizadegan,DF,ir IR Iran,28-268,1.qa Al Ahli SC,1994,1,0,45,0.5,0,0,0,0,0,1,0
300,Harry Kane,FW,eng England,29-141,1.eng Tottenham,1993,5,5,402,4.5,2,3,1,1,2,0,0
301,Lee Kangin,"MF,FW",kr Korea Republic,21-300,1.es Mallorca,2001,4,1,147,1.6,0,1,0,0,0,1,0
302,Mohamed Kanno,"MF,FW",sa Saudi Arabia,28-085,1.sa Al-Hilal,1994,3,3,270,3.0,0,0,0,0,0,0,0
303,Fran Karačić,DF,au Australia,26-218,2.it Brescia,1996,2,1,93,1.0,0,0,0,0,0,0,0
304,Ali Karimi,MF,ir IR Iran,28-308,1.tr Kayserispor,1994,3,1,99,1.1,0,0,0,0,0,0,0
305,Mark-Anthony Kaye,MF,ca Canada,28-014,1.us Toronto FC,1994,1,1,59,0.7,0,0,0,0,0,0,0
306,Wajdi Kechrida,DF,tn Tunisia,27-041,1.gr Atromitos,1995,3,1,111,1.2,0,0,0,0,0,1,0
307,Thilo Kehrer,DF,de Germany,26-086,1.eng West Ham,1996,1,1,69,0.8,0,0,0,0,0,1,0
308,Wahbi Khazri,"FW,MF",tn Tunisia,31-311,1.fr Montpellier,1991,2,1,83,0.9,1,0,1,0,0,0,0
309,Musab Kheder,DF,qa Qatar,29-081,1.qa Al Sadd SC,1993,1,0,6,0.1,0,0,0,0,0,0,0
310,Boualem Khoukhi,DF,qa Qatar,32-160,1.qa Al Sadd SC,1990,3,3,270,3.0,0,0,0,0,0,0,0
311,Joshua Kimmich,"MF,DF",de Germany,27-311,1.de Bayern Munich,1995,3,3,270,3.0,0,0,0,0,0,1,0
312,Jakub Kiwior,DF,pl Poland,22-304,1.it Spezia,2000,4,4,355,3.9,0,0,0,0,0,1,0
313,Simon Kjær,DF,dk Denmark,33-265,1.it Milan,1989,1,1,64,0.7,0,0,0,0,0,0,0
314,Davy Klaassen,"MF,FW",nl Netherlands,29-298,1.nl Ajax,1993,4,3,190,2.1,1,2,1,0,0,0,0
315,Lukas Klostermann,DF,de Germany,26-196,1.de RB Leipzig,1996,2,0,66,0.7,0,0,0,0,0,0,0
316,Gregor Kobel,GK,ch Switzerland,25-010,1.de Dortmund,1997,1,1,90,1.0,0,0,0,0,0,0,0
317,Koke,MF,es Spain,30-342,1.es Atlético Madrid,1992,2,0,52,0.6,0,0,0,0,0,0,0
318,Randal Kolo Muani,FW,fr France,24-011,1.de Eint Frankfurt,1998,2,1,102,1.1,1,0,1,0,0,0,0
319,Ibrahima Konaté,DF,fr France,23-205,1.eng Liverpool,1999,4,3,286,3.2,0,0,0,0,0,0,0
320,Ismaël Koné,"MF,DF",ca Canada,20-193,1.us CF Montréal,2002,3,0,109,1.2,0,0,0,0,0,0,0
321,Teun Koopmeiners,MF,nl Netherlands,24-291,1.it Atalanta,1998,5,1,219,2.4,0,1,0,0,0,1,0
322,Filip Kostić,DF,rs Serbia,30-045,1.it Juventus,1992,2,2,179,2.0,0,0,0,0,0,0,0
323,Kalidou Koulibaly,DF,sn Senegal,31-179,1.eng Chelsea,1991,4,4,360,4.0,1,0,1,0,0,1,0
324,Jules Koundé,DF,fr France,24-034,1.es Barcelona,1998,5,4,361,4.0,0,0,0,0,0,1,0
325,Cheikhou Kouyaté,MF,sn Senegal,32-360,1.eng Nott'ham Forest,1989,1,1,72,0.8,0,0,0,0,0,0,0
326,Mateo Kovačić,MF,hr Croatia,28-224,1.eng Chelsea,1994,6,6,545,6.1,0,0,0,0,0,2,0
327,Andrej Kramarić,FW,hr Croatia,31-180,1.de Hoffenheim,1991,6,6,414,4.6,2,0,2,0,0,0,0
328,Grzegorz Krychowiak,MF,pl Poland,32-321,1.sa Al-Shabab,1990,4,4,332,3.7,0,0,0,0,0,1,0
329,Takefusa Kubo,FW,jp Japan,21-195,1.es Real Sociedad,2001,2,2,90,1.0,0,0,0,0,0,0,0
330,Pierre Kunde,MF,cm Cameroon,27-143,1.gr Olympiacos,1995,2,2,131,1.5,0,0,0,0,0,1,0
331,Garang Kuol,"FW,MF",au Australia,18-092,1.au Central Coast,2004,2,0,37,0.4,0,0,0,0,0,0,0
332,Daniel Kyereh,"MF,DF",gh Ghana,26-283,1.de Freiburg,1996,3,0,33,0.4,0,0,0,0,0,0,0
333,Kwon Kyung-won,DF,kr Korea Republic,30-319,1.jp Gamba Osaka,1992,2,1,91,1.0,0,0,0,0,0,0,0
334,Aïssa Laïdouni,MF,tn Tunisia,26-003,1.hu Ferencváros,1996,3,3,243,2.7,0,1,0,0,0,1,0
335,Tariq Lamptey,DF,gh Ghana,22-077,1.eng Brighton,2000,2,1,102,1.1,0,0,0,0,0,1,0
336,Noa Lang,MF,nl Netherlands,23-182,1.be Club Brugge,1999,1,0,8,0.1,0,0,0,0,0,1,0
337,Aymeric Laporte,DF,es Spain,28-203,1.eng Manchester City,1994,3,3,300,3.3,0,0,0,0,0,1,0
338,Cyle Larin,FW,ca Canada,27-243,1.be Club Brugge,1995,3,2,137,1.5,0,0,0,0,0,0,0
339,Richie Laryea,"DF,MF",ca Canada,27-343,1.us Toronto FC,1995,3,2,160,1.8,0,0,0,0,0,0,0
340,Darko Lazović,DF,rs Serbia,32-092,1.it Hellas Verona,1990,1,0,25,0.3,0,0,0,0,0,0,0
341,Rafael Leão,FW,pt Portugal,23-189,1.it Milan,1999,5,0,88,1.0,2,0,2,0,0,0,0
342,Mathew Leckie,"MF,FW",au Australia,31-315,1.au Melb City,1991,4,4,333,3.7,1,1,1,0,0,0,0
343,Robert Lewandowski,FW,pl Poland,34-117,1.es Barcelona,1988,4,4,360,4.0,2,1,1,1,2,0,0
344,Matthijs de Ligt,DF,nl Netherlands,23-126,1.de Bayern Munich,1999,2,1,91,1.0,0,0,0,0,0,1,0
345,Jesper Lindstrøm,"MF,FW",dk Denmark,22-290,1.de Eint Frankfurt,2000,3,2,200,2.2,0,0,0,0,0,0,0
346,Marko Livaja,"FW,MF",hr Croatia,29-112,1.hr Hajduk Split,1993,5,2,176,2.0,1,0,1,0,0,0,0
347,Dominik Livaković,GK,hr Croatia,27-341,1.hr Dinamo Zagreb,1995,6,6,600,6.7,0,0,0,0,0,1,0
348,Marcos Llorente,DF,es Spain,27-320,1.es Atlético Madrid,1995,1,1,120,1.3,0,0,0,0,0,0,0
349,Hugo Lloris,GK,fr France,35-355,1.eng Tottenham,1986,5,5,450,5.0,0,0,0,0,0,0,0
350,Dejan Lovren,DF,hr Croatia,33-164,1.ru Zenit,1989,6,6,600,6.7,0,1,0,0,0,1,0
351,Hirving Lozano,FW,mx Mexico,27-139,1.it Napoli,1995,3,3,252,2.8,0,0,0,0,0,0,0
352,Romelu Lukaku,FW,be Belgium,29-217,1.it Inter,1993,2,0,55,0.6,0,0,0,0,0,0,0
353,Saša Lukić,MF,rs Serbia,26-125,1.it Torino,1996,3,3,245,2.7,0,0,0,0,0,2,0
354,Ali Maâloul,DF,tn Tunisia,32-349,1.eg Al Ahly SC,1990,1,1,90,1.0,0,0,0,0,0,0,0
355,Awer Mabil,MF,au Australia,27-092,1.es Cádiz,1995,2,0,24,0.3,0,0,0,0,0,0,0
356,Alexis Mac Allister,MF,ar Argentina,23-357,1.eng Brighton,1998,5,5,435,4.8,1,0,1,0,0,0,0
357,Jamie Maclaren,FW,au Australia,29-140,1.au Melb City,1993,3,0,55,0.6,0,0,0,0,0,0,0
358,Assim Madibo,MF,qa Qatar,26-055,1.qa Al Duhail SC,1996,2,2,153,1.7,0,0,0,0,0,1,0
359,Abdullah Madu,"DF,MF",sa Saudi Arabia,29-154,1.sa Al-Nassr,1993,1,0,45,0.5,0,0,0,0,0,1,0
360,Daizen Maeda,FW,jp Japan,25-057,1.sct Celtic,1997,3,3,180,2.0,1,0,1,0,0,0,0
361,Harry Maguire,DF,eng England,29-286,1.eng Manchester Utd,1993,5,5,429,4.8,0,1,0,0,0,1,0
362,Lovro Majer,MF,hr Croatia,24-333,1.fr Rennes,1998,6,0,65,0.7,1,0,1,0,0,0,0
363,Nemanja Maksimović,MF,rs Serbia,27-324,1.es Getafe,1995,3,1,122,1.4,0,0,0,0,0,0,0
364,Abdulellah Al-Malki,MF,sa Saudi Arabia,28-066,1.sa Al-Hilal,1994,2,2,174,1.9,0,0,0,0,0,2,0
365,Steve Mandanda,GK,fr France,37-263,1.fr Rennes,1985,1,1,90,1.0,0,0,0,0,0,0,0
366,José María Giménez,DF,uy Uruguay,27-330,1.es Atlético Madrid,1995,3,3,270,3.0,0,0,0,0,0,1,0
367,João Mário,"FW,MF",pt Portugal,29-331,1.pt Benfica,1993,2,1,84,0.9,0,0,0,0,0,0,0
368,Marquinhos,DF,br Brazil,28-216,1.fr Paris S-G,1994,5,4,426,4.7,0,0,0,0,0,1,0
369,Henry Martín,FW,mx Mexico,30-028,1.mx América,1992,2,2,146,1.6,1,0,1,0,0,0,0
370,Martinelli,FW,br Brazil,21-181,1.eng Arsenal,2001,3,1,113,1.3,0,0,0,0,0,0,0
371,Carlos Martínez,DF,cr Costa Rica,23-261,1.cr AD San Carlos,1999,1,1,45,0.5,0,0,0,0,0,0,0
372,Emiliano Martínez,GK,ar Argentina,30-105,1.eng Aston Villa,1992,6,6,570,6.3,0,0,0,0,0,0,0
373,Lautaro Martínez,FW,ar Argentina,25-116,1.it Inter,1997,5,2,223,2.5,0,0,0,0,0,0,0
374,Lisandro Martínez,DF,ar Argentina,24-332,1.eng Manchester Utd,1998,5,2,303,3.4,0,0,0,0,0,1,0
375,Pape Matar Sarr,MF,sn Senegal,20-093,1.eng Tottenham,2002,2,0,59,0.7,0,0,0,0,0,0,0
376,Rónald Matarrita,"DF,MF",cr Costa Rica,28-160,1.us FC Cincinnati,1994,2,0,26,0.3,0,0,0,0,0,0,0
377,Eric Maxim Choupo-Moting,"FW,MF",cm Cameroon,33-268,1.de Bayern Munich,1989,3,3,253,2.8,1,0,1,0,0,0,0
378,Noussair Mazraoui,DF,ma Morocco,25-032,1.de Bayern Munich,1997,5,5,365,4.1,0,0,0,0,0,0,0
379,Kylian Mbappé,FW,fr France,23-361,1.fr Paris S-G,1998,6,5,478,5.3,5,2,5,0,0,0,0
380,Bryan Mbeumo,"FW,MF",cm Cameroon,23-131,1.eng Brentford,1999,3,3,233,2.6,0,0,0,0,0,0,0
381,Riley McGree,"FW,MF",au Australia,24-044,2.eng Middlesbrough,1998,4,4,265,2.9,0,1,0,0,0,0,0
382,Weston McKennie,MF,us United States,24-110,1.it Juventus,1998,4,4,271,3.0,0,0,0,0,0,1,0
383,Hannibal Mejbri,MF,tn Tunisia,19-329,2.eng Birmingham City,2003,1,0,11,0.1,0,0,0,0,0,0,0
384,Memphis,FW,nl Netherlands,28-306,1.es Barcelona,1994,5,3,297,3.3,1,0,1,0,0,1,0
385,Nuno Mendes,DF,pt Portugal,20-180,1.fr Paris S-G,2002,1,1,41,0.5,0,0,0,0,0,0,0
386,Jhegson Méndez,MF,ec Ecuador,25-234,1.us Los Angeles FC,1997,2,2,180,2.0,0,0,0,0,0,2,0
387,Edouard Mendy,GK,sn Senegal,30-290,1.eng Chelsea,1992,4,4,360,4.0,0,0,0,0,0,0,0
388,Nampalys Mendy,MF,sn Senegal,30-176,1.eng Leicester City,1992,4,3,272,3.0,0,0,0,0,0,1,0
389,Gideon Mensah,DF,gh Ghana,24-151,1.fr Auxerre,1998,1,1,87,1.0,0,1,0,0,0,0,0
390,Chris Mepham,DF,wls Wales,25-041,1.eng Bournemouth,1997,3,3,270,3.0,0,0,0,0,0,1,0
391,Yassine Meriah,DF,tn Tunisia,29-167,1.tn Espérance de Tunis,1993,3,3,270,3.0,0,0,0,0,0,0,0
392,Dries Mertens,"MF,FW",be Belgium,35-224,1.tr Galatasaray,1987,2,1,76,0.8,0,0,0,0,0,0,0
393,Lionel Messi,FW,ar Argentina,35-175,1.fr Paris S-G,1987,6,6,570,6.3,5,3,2,3,4,1,0
394,Thomas Meunier,DF,be Belgium,31-095,1.de Dortmund,1991,3,2,211,2.3,0,0,0,0,0,1,0
395,Nikola Milenković,DF,rs Serbia,25-065,1.it Fiorentina,1997,3,3,270,3.0,0,0,0,0,0,2,0
396,Arkadiusz Milik,"FW,MF",pl Poland,28-291,1.it Juventus,1994,3,1,101,1.1,0,0,0,0,0,1,0
397,Sergej Milinković-Savić,MF,rs Serbia,27-292,1.it Lazio,1995,3,3,233,2.6,1,0,1,0,0,1,0
398,Vanja Milinković-Savić,GK,rs Serbia,25-299,1.it Torino,1997,3,3,270,3.0,0,0,0,0,0,0,0
399,Éder Militão,DF,br Brazil,24-332,1.es Real Madrid,1998,4,4,347,3.9,0,0,0,0,0,1,0
400,Liam Millar,DF,ca Canada,23-080,1.ch Basel,1999,1,0,10,0.1,0,0,0,0,0,0,0
401,Kamal Miller,DF,ca Canada,25-214,1.us CF Montréal,1997,3,3,270,3.0,0,0,0,0,0,1,0
402,Kim Min-jae,DF,kr Korea Republic,26-031,1.it Napoli,1996,3,3,269,3.0,0,0,0,0,0,0,0
403,Takumi Minamino,FW,jp Japan,27-334,1.fr Monaco,1995,3,0,60,0.7,0,0,0,0,0,0,0
404,Kaoru Mitoma,MF,jp Japan,25-210,1.eng Brighton,1997,4,0,165,1.8,0,1,0,0,0,0,0
405,Aleksandar Mitrović,FW,rs Serbia,28-091,1.eng Fulham,1994,3,3,262,2.9,2,0,2,0,0,1,0
406,Stefan Mitrović,DF,rs Serbia,32-208,1.es Getafe,1990,1,0,35,0.4,0,0,0,0,0,0,0
407,Filip Mladenović,DF,rs Serbia,31-123,1.pl Legia Warsaw,1991,1,1,65,0.7,0,0,0,0,0,0,0
408,Luka Modrić,MF,hr Croatia,37-098,1.es Real Madrid,1985,6,6,563,6.3,0,0,0,0,0,1,0
409,Ismail Mohamad,FW,qa Qatar,32-255,1.qa Al Duhail SC,1990,2,2,174,1.9,0,1,0,0,0,1,0
410,Milad Mohammadi,DF,ir IR Iran,29-078,1.gr AEK Athens,1993,3,3,196,2.2,0,0,0,0,0,0,0
411,Kudus Mohammed,"FW,MF",gh Ghana,22-136,1.nl Ajax,2000,3,3,247,2.7,2,0,2,0,0,1,0
412,Sadegh Moharrami,DF,ir IR Iran,26-290,1.hr Dinamo Zagreb,1996,1,1,90,1.0,0,0,0,0,0,0,0
413,Nahuel Molina,DF,ar Argentina,24-254,1.es Atlético Madrid,1998,6,5,477,5.3,1,1,1,0,0,0,0
414,César Montes,DF,mx Mexico,25-295,1.mx Monterrey,1997,3,3,270,3.0,0,1,0,0,0,0,0
415,Gonzalo Montiel,"DF,MF",ar Argentina,25-349,1.es Sevilla,1997,3,1,88,1.0,0,0,0,0,0,2,0
416,Kim Moonhwan,DF,kr Korea Republic,27-137,1.kr Jeonbuk,1995,4,4,360,4.0,0,0,0,0,0,0,0
417,Kieffer Moore,FW,wls Wales,30-130,1.eng Bournemouth,1992,3,2,225,2.5,0,0,0,0,0,0,0
418,Shaquell Moore,DF,us United States,26-044,1.us Nashville,1996,2,0,22,0.2,0,0,0,0,0,0,0
419,Aaron Mooy,MF,au Australia,32-092,1.sct Celtic,1990,4,4,360,4.0,0,0,0,0,0,1,0
420,Álvaro Morata,FW,es Spain,30-054,1.es Atlético Madrid,1992,4,1,185,2.1,3,1,3,0,0,0,0
421,Héctor Moreno,DF,mx Mexico,34-333,1.mx Monterrey,1988,3,3,270,3.0,0,0,0,0,0,1,0
422,Hidemasa Morita,MF,jp Japan,27-220,1.pt Sporting CP,1995,3,3,285,3.2,0,0,0,0,0,0,0
423,Joe Morrell,MF,wls Wales,25-347,3.eng Portsmouth,1997,2,0,33,0.4,0,0,0,0,0,0,0
424,Jordan Morris,"FW,DF",us United States,28-051,1.us Seattle,1994,2,0,4,0.0,0,0,0,0,0,0,0
425,Youssoufa Moukoko,FW,de Germany,18-026,1.de Dortmund,2004,1,0,1,0.0,0,0,0,0,0,0,0
426,Mason Mount,MF,eng England,23-340,1.eng Chelsea,1999,4,2,186,2.1,0,0,0,0,0,0,0
427,Youssef Msakni,"MF,FW",tn Tunisia,32-049,1.qa Al-Arabi SC,1990,2,2,169,1.9,0,0,0,0,0,0,0
428,Thomas Müller,"FW,MF",de Germany,33-094,1.de Bayern Munich,1989,3,3,201,2.2,0,0,0,0,0,0,0
429,Munir,GK,ma Morocco,33-220,1.sa Al-Wehda,1989,1,1,90,1.0,0,0,0,0,0,0,0
430,Mohammed Muntari,"FW,MF",qa Qatar,28-361,1.qa Al Duhail SC,1993,3,0,63,0.7,1,0,1,0,0,0,0
431,Yunus Musah,MF,us United States,20-017,1.es Valencia,2002,4,4,343,3.8,0,0,0,0,0,0,0
432,Jamal Musiala,"MF,FW",de Germany,19-293,1.de Bayern Munich,2003,3,3,258,2.9,0,1,0,0,0,0,0
433,Joakim Mæhle,DF,dk Denmark,25-210,1.it Atalanta,1997,3,3,249,2.8,0,0,0,0,0,0,0
434,Georges-Kévin N'Koudou,"FW,MF",cm Cameroon,27-306,1.tr Beşiktaş,1995,2,0,27,0.3,0,0,0,0,0,0,0
435,Yuto Nagatomo,"MF,DF",jp Japan,36-095,1.jp FC Tokyo,1986,4,4,209,2.3,0,0,0,0,0,0,0
436,Sami Al-Najei,MF,sa Saudi Arabia,25-312,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,0
